,duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes,ride_date
153,32 minutes,21,Montgomery St BART Station (Market St at 2nd St),4,Cyril Magnin St at Ellis St,5027,Subscriber,1975,Male,26.0,2022-04-29
154,10 minutes,3,Powell St BART Station (Market St at 4th St),55,Webster St at Grove St,5229,Subscriber,1991,Male,26.0,2022-04-29
155,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),136,23rd St at San Bruno Ave,5574,Subscriber,1980,Female,27.0,2019-02-16
156,11 minutes,3,Powell St BART Station (Market St at 4th St),364,China Basin St at 3rd St,4748,Customer,1996,Male,27.0,2017-05-31
157,6 minutes,81,Berry St at 4th St,49,S Park St at 3rd St,3711,Subscriber,1978,Male,26.0,2017-02-04
158,6 minutes,16,Steuart St at Market St,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),6235,Subscriber,1967,Male,26.0,2018-05-07
159,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),33,Golden Gate Ave at Hyde St,967,Subscriber,1983,Male,26.0,2018-06-07
160,21 minutes,81,Berry St at 4th St,55,Webster St at Grove St,4969,Subscriber,1969,Female,27.0,2018-01-13
161,7 minutes,5,Powell St BART Station (Market St at 5th St),43,San Francisco Public Library (Grove St at Hyde St),5530,Subscriber,1990,Female,26.0,2019-08-20
162,18 minutes,5,Powell St BART Station (Market St at 5th St),355,23rd St at Tennessee St,5535,Subscriber,1993,Male,29.0,2018-11-21
163,19 minutes,5,Powell St BART Station (Market St at 5th St),355,23rd St at Tennessee St,4344,Subscriber,1991,Female,26.0,2017-07-20
164,13 minutes,22,Howard St at Beale St,345,Hubbell St at 16th St,3616,Subscriber,1991,Male,26.0,2018-03-27
165,10 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),3108,Subscriber,1992,Male,26.0,2019-09-05
166,1 minutes,3,Powell St BART Station (Market St at 4th St),3,Powell St BART Station (Market St at 4th St),4319,Subscriber,1991,Male,26.0,2022-04-29
167,8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),4968,Subscriber,1993,Female,27.0,2018-08-30
168,3 minutes,22,Howard St at Beale St,27,Beale St at Harrison St,1718,Subscriber,1986,Male,26.0,2020-01-08
169,8 minutes,22,Howard St at Beale St,4,Cyril Magnin St at Ellis St,1475,Subscriber,1994,Other,26.0,2018-10-13
170,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,5253,Subscriber,1988,Other,26.0,2019-11-28
171,6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),27,Beale St at Harrison St,5114,Customer,1993,Male,26.0,2020-01-31
172,11 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),90,Townsend St at 7th St,3432,Subscriber,1988,Male,29.0,2022-04-29
173,12 minutes,5,Powell St BART Station (Market St at 5th St),53,Grove St at Divisadero,4778,Subscriber,1994,Male,26.0,2022-04-29
174,9 minutes,81,Berry St at 4th St,3,Powell St BART Station (Market St at 4th St),2738,Subscriber,1993,Female,26.0,2017-03-11
175,12 minutes,81,Berry St at 4th St,130,22nd St Caltrain Station,1565,Customer,1992,Female,29.0,2017-06-16
176,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),11,Davis St at Jackson St,5307,Subscriber,1987,Female,27.0,2022-04-29
177,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),55,Webster St at Grove St,4953,Subscriber,1992,Female,26.0,2019-02-05
178,14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),74,Laguna St at Hayes St,4347,Customer,1988,Male,29.0,2019-02-09
179,8 minutes,22,Howard St at Beale St,323,Broadway at Kearny,5359,Subscriber,1985,Male,26.0,2018-05-08
180,18 minutes,5,Powell St BART Station (Market St at 5th St),109,17th St at Valencia St,4320,Subscriber,1980,Male,27.0,2018-04-03
181,11 minutes,22,Howard St at Beale St,104,4th St at 16th St,2473,Subscriber,1982,Male,26.0,2017-11-07
