,YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
1599,2008,Former British Prime Minister,9/18/08,Politician,Tony Blair
1600,2008,journalist,9/2/08,Media,Brian Williams
1601,2008,us president,9/23/08,Politician,Bill Clinton
1602,2008,film actor,9/24/08,Acting,Aaron Eckhart
1603,2008,journalist,9/25/08,Media,Bob Schieffer
1604,2008,journalist,9/29/08,Media,Hooman Majd
1605,2008,Former U.S. Representative,9/3/08,Politician,Newt Gingrich
1606,2008,comedian,9/30/08,Comedy,Bill Maher
1607,2008,Former Governor of Arkansas,9/4/08,Politician,Mike Huckabee
1608,2008,0,9/5/08,,(no guest)
1609,2009,author,1/12/09,Media,Maxwell Kennedy
1610,2009,actor,1/13/09,Acting,Daniel Craig
1611,2009,journalist,1/14/09,Media,Fareed Zakaria
1612,2009,editor,1/15/09,Media,Bethany McLean
1613,2009,JOURNALIST,1/19/09,Media,Abderrahim Foukara
1614,2009,canon,1/20/09,Clergy,Rt. Rev. V. Gene Robinson
1615,2009,correspondent,1/21/09,Media,David Sanger
1616,2009,actor,1/22/09,Acting,Liam Neeson
1617,2009,presidnet,1/26/09,Politician,President Jimmy Carter
1618,2009,journalist,1/27/09,Media,Gwen Ifill
1619,2009,Astrophysicist,1/28/09,Science,Neil DeGrasse Tyson
1620,2009,Political Scientist,1/29/09,Consultant,P. W. Singer
1621,2009,television host,1/5/09,Media,David Gregory
1622,2009,Author,1/6/09,Media,Michael Wolff
1623,2009,television host,1/7/09,Media,Rachel Maddow
1624,2009,former white house press secretary,1/8/09,Political Aide,Dana Perino
1625,2009,comedian,10/1/09,Comedy,Joy Behar
1626,2009,former governor of arizona,10/12/09,Politician,Janet Napolitano
1627,2009,aviator,10/13/09,Misc,Chesley Sullenberger
1628,2009,author,10/14/09,Media,Barbara Ehrenreich
1629,2009,author,10/15/09,Media,Jennifer Burns
1630,2009,Stand-up comedian,10/26/09,Comedy,Susie Essman
1631,2009,economist,10/27/09,Academic,Steven Levitt
1632,2009,activist,10/28/09,Advocacy,Dr. Mustafa Barghouti and Anna Baltzer
1633,2009,public speaker,10/28/09,Misc,Dr. Mustafa Barghouti and Anna Baltzer
1634,2009,Comedian,10/29/09,Comedy,Wanda Sykes
1635,2009,Author,10/5/09,Media,Sarah Vowell
1636,2009,United States Secretary of the Navy,10/6/09,Politician,Ray Mabus
1637,2009,Innovator,10/7/09,Academic,William Kamkwamba
1638,2009,television host,10/8/09,Media,David Gregory
1639,2009,Tennis player,11/10/09,Athletics,Serena Williams
1640,2009,musician,11/11/09,Musician,Clarence Clemons
1641,2009,primatologist,11/12/09,Science,Jane Goodall
1642,2009,journalist,11/16/09,Media,Jake Adelstein
1643,2009,vice president,11/17/09,Politician,Joe Biden
1644,2009,television personality,11/18/09,Media,Lou Dobbs
1645,2009,rock band,11/19/09,Musician,Jack's Mannequin
1646,2009,us senator,11/2/09,Politician,Bob Menendez
1647,2009,political strategist,11/3/09,Consultant,David Plouffe
1648,2009,Journalist,11/30/09,Media,Maziar Bahari
1649,2009,former vice president,11/4/09,Politician,Al Gore
1650,2009,United States Ambassador to the United Nations,11/5/09,Government,Susan Rice
1651,2009,Former United States Senator,11/9/09,Politician,Kit Bond
1652,2009,journalist,12/1/09,Media,Thomas Friedman
1653,2009,journalist,12/10/09,Media,Gwen Ifill
1654,2009,actress,12/14/09,Acting,Sigourney Weaver
1655,2009,Former United States Secretary of Transportation,12/15/09,Politician,Ray LaHood
1656,2009,actor,12/16/09,Acting,Hugh Grant
1657,2009,Professional Road Racing Cyclist,12/2/09,Athletics,Lance Armstrong
1658,2009,Journalist,12/3/09,Media,Michael Specter
1659,2009,journalist,12/7/09,Media,Dan Rather
1660,2009,Former Governor of Arkansas,12/8/09,Politician,Mike Huckabee
1661,2009,journalist,12/9/09,Media,Andrew Ross Sorkin
1662,2009,journalist,2/10/09,Media,Thomas Ricks
1663,2009,professor,2/11/09,Academic,Daniel Sperling
1664,2009,former governor of new hampshire,2/12/09,Politician,John Sununu
1665,2009,former director of the national economic counscil,2/2/09,Government,Lawrence Lindsey
1666,2009,business magnate,2/23/09,Business,Jeff Bezos
1667,2009,Comedian,2/24/09,Comedy,Ricky Gervais
1668,2009,actor,2/25/09,Acting,Tom Selleck
1669,2009,journalist,2/26/09,Media,Brian Williams
1670,2009,actor,2/3/09,Acting,Dev Patel
1671,2009,author,2/4/09,Media,Karen Greenberg
1672,2009,Author,2/5/09,Media,Randall Balmer
1673,2009,Writer,2/9/09,Media,Walter Isaacson
1674,2009,author,3/10/09,Media,Craig Mullaney
1675,2009,actor,3/11/09,Acting,Paul Rudd
1676,2009,television personality,3/12/09,Media,Jim Cramer
1677,2009,military,3/16/09,Military,Gen. Richard B. Myers
1678,2009,actor,3/17/09,Acting,Ian McShane
1679,2009,Entrepreneur,3/18/09,Business,Nandan Nilekani
1680,2009,musician,3/19/09,Musician,Bruce Springsteen
1681,2009,scientist,3/2/09,Science,Harold Varmus
1682,2009,Former Associate Justice of the Supreme Court of the United States,3/3/09,Government,Sandra Day O'Connor
1683,2009,commentator,3/30/09,Media,Jack Cafferty
1684,2009,actor,3/31/09,Acting,Seth Rogen
1685,2009,journalist,3/4/09,Media,Joe Nocera
1686,2009,actor,3/5/09,Acting,Billy Crudup
1687,2009,author,3/9/09,Media,Nathaniel Frank
1688,2009,Former Director of the Office of Management and Budget,4/1/09,Government,Peter R. Orszag
1689,2009,Baseball athlete,4/14/09,Athletics,Ron Darling
1690,2009,us senator,4/15/09,Politician,Elizabeth Warren
1691,2009,actor,4/16/09,Acting,Ben Affleck
1692,2009,Author,4/2/09,Media,Tom Zoellner
1693,2009,Professor,4/20/09,Academic,Reza Aslan
1694,2009,president of liberia,4/21/09,Politician,Ellen Johnson Sirleaf
1695,2009,author,4/22/09,Media,Philip Alcabes
1696,2009,Historian,4/23/09,Academic,Richard Beeman
1697,2009,lawyer,4/27/09,Misc,Christine Lagarde
1698,2009,journalist,4/28/09,Media,Clifford May
1699,2009,biographer,4/29/09,Media,Doris Kearns Goodwin
1700,2009,actor,4/30/09,Acting,Hugh Jackman
1701,2009,actor,4/6/09,Acting,Michael J. Fox
1702,2009,first lady of egypt,4/7/09,Politician,Jehan Al Sadat
1703,2009,Minority Leader of the United States House of Representatives,4/8/09,Politician,Nancy Pelosi
1704,2009,Writer,4/9/09,Media,William D. Cohan
1705,2009,scholar,5/11/09,Academic,Frank Partnoy
1706,2009,actor,5/12/09,Acting,Tom Hanks
1707,2009,author,5/13/09,Media,Husain Haqqani
1708,2009,EPA administrator,5/14/09,Government,Lisa P. Jackson
1709,2009,Racing driver,5/18/09,Athletics,Sarah Fisher
1710,2009,Former U.S. Representative,5/19/09,Politician,Newt Gingrich
1711,2009,attorney,5/20/09,Misc,Elizabeth Edwards
1712,2009,television host,5/21/09,Media,Larry King
1713,2009,actor,5/4/09,Acting,Denis Leary
1714,2009,journalist,5/5/09,Media,Fareed Zakaria
1715,2009,white house sommunications director,5/6/09,Political Aide,George Stephanopoulos
1716,2009,Former United States Secretary of the Interior,5/7/09,Politician,Ken Salazar
1717,2009,journalist,6/1/09,Media,Bob Woodruff
1718,2009,Businessman,6/10/09,Business,Saad Mohseni
1719,2009,journalist,6/11/09,Media,Katie Couric
1720,2009,actor,6/15/09,Acting,Ed Helms
1721,2009,Writer,6/16/09,Media,Tom Folsom
1722,2009,Journalist,6/17/09,Media,Peter Laufer
1723,2009,Former Governor of Arkansas,6/18/09,Politician,Mike Huckabee
1724,2009,Political satirist,6/2/09,Media,P.J. O'Rourke
1725,2009,basketball player,6/22/09,Athletics,Bill Russell
1726,2009,Comedian,6/23/09,Comedy,Larry David
1727,2009,Professor,6/24/09,Academic,Reza Aslan
1728,2009,actress,6/25/09,Acting,Cameron Diaz
1729,2009,Neurologist,6/29/09,Science,Oliver Sacks
1730,2009,Author,6/3/09,Media,Michael Lewis
1731,2009,Author,6/30/09,Media,Mike Kim
1732,2009,actor,6/4/09,Acting,Will Ferrell
1733,2009,singer,6/8/09,Musician,Gretchen Peters
1734,2009,Financier,6/9/09,Business,Peter Schiff
1735,2009,journalist,7/1/09,Media,Justin Fox
1736,2009,former us representative,7/13/09,Politician,Barney Frank
1737,2009,professor,7/14/09,Academic,Peter Mancall
1738,2009,former hhs secretary,7/15/09,Politician,Kathleen Sebelius
1739,2009,commentator,7/16/09,Media,Robert Glennon
1740,2009,Screenwriter,7/2/09,Media,Robert Kenner
1741,2009,journalist,7/20/09,Media,Brian Williams
1742,2009,Former United States Secretary of Energy,7/21/09,Politician,Steven Chu
1743,2009,actor,7/22/09,Acting,Kevin Nealon
1744,2009,Sports Columnist,7/23/09,Media,Sally Jenkins
1745,2009,commentator,7/27/09,Media,Bill Kristol
1746,2009,Band,7/28/09,Musician,Spinal Tap
1747,2009,lawyer,7/29/09,Misc,John R. Bolton
1748,2009,screenwriter,7/30/09,Media,Judd Apatow
1749,2009,author,8/10/09,Media,Douglas Brinkley
1750,2009,economist,8/11/09,Academic,Austan Goolsbee
1751,2009,author,8/12/09,Media,Larry Lawton (skit)[4] and Jeff Sharlet (interview)
1752,2009,journalist,8/12/09,Media,Larry Lawton (skit)[4] and Jeff Sharlet (interview)
1753,2009,actress,8/13/09,Acting,Rachel McAdams
1754,2009,stand-up comedian,8/17/09,Comedy,David Cross
1755,2009,author,8/18/09,Media,Christopher McDougall
1756,2009,Consultant,8/19/09,Political Aide,Tim Gunn
1757,2009,american politician,8/20/09,Politician,Betsy McCaughey
1758,2009,Journalist,8/3/09,Media,Ronald Kessler
