,INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,Tuition
1193,Lakeland University,385400,3,907.0,0.2862,0.5494,0.96263520157325,3390.0,6522.0,0.777777778,16666.5,62779.58,20646.0
1194,Marian University,386100,3,950.0,0.4097,0.6941,0.8390119250425799,1653.0,6388.0,0.85801217,20000,63695.21,20239.0
1195,Marquette University,386300,3,1219.0,0.1579,0.4823,0.7420677535878101,7496.0,9870.0,0.889330307,24000,75591.25,31093.0
1196,Milwaukee School of Engineering,386800,3,1248.0,0.265,0.6583,0.64961306964746,2279.0,8653.0,0.931888545,25687,68757.09,21771.0
1197,Mount Mary University,386900,3,902.0,0.5274,0.7307,0.5261780104712,1089.0,6027.0,0.763688761,19500,62361.14,16104.0
1198,Northland College,387500,3,1118.0,0.3818,0.774,0.5715962441314499,773.0,6407.0,0.850649351,20000,59747.9,18746.0
1199,Ripon College,388400,3,1105.0,0.3821,0.6869,0.6611526147278499,862.0,6914.0,0.898876405,26053,66802.94,17824.0
1200,Saint Norbert College,389200,3,1125.0,0.2221,0.6463,0.77687467226009,2032.0,6857.0,PrivacySuppressed,23250,71321.9,22907.0
1201,Viterbo University,391100,3,1090.0,0.322,0.706,0.66153846153846,1686.0,6197.0,0.857461025,21402,56953.94,17987.0
1202,University of Wisconsin-Whitewater,392600,3,1050.0,0.2943,0.6219,0.80499835580401,9460.0,7244.0,0.834653465,18750,67955.05,14107.0
1203,University of Wisconsin-Eau Claire,391700,3,1110.0,0.2615,0.5775,0.8520496038580699,10165.0,7303.0,0.893333333,17288,64551.11,15403.0
1204,University of Wisconsin-Green Bay,389900,3,1070.0,0.2973,0.5121,0.84698175011698,5349.0,6687.0,0.858095238,14750,63413.11,14102.0
1205,University of Wisconsin-La Crosse,391900,3,1130.0,0.22,0.5725,0.80003305238803,8465.0,6834.0,0.923409512,18509,64374.0,15292.0
1206,Wisconsin Lutheran College,2136600,3,1101.0,0.3147,0.7523,0.91830985915492,634.0,6104.0,0.918604651,18872,69126.34,19263.0
1207,University of Wisconsin-Oshkosh,392000,3,1030.0,0.2472,0.4876,0.8149316508937899,9105.0,7091.0,0.880673842,16500.5,64650.08,14807.0
1208,University of Wisconsin-Parkside,501500,3,970.0,0.4311,0.59,0.81588447653429,4736.0,6274.0,0.765337423,13022,64274.59,10896.0
1209,University of Wisconsin-Stout,391500,3,1030.0,0.2925,0.6254,0.93051643192488,7240.0,6754.0,0.914819137,17993,65020.23,15648.0
1210,University of Wisconsin-Superior,392500,3,990.0,0.4181,0.6399,0.9403578528827,2505.0,6271.0,0.740540541,15000,53835.5,12623.0
1211,University of Wisconsin-Madison,389500,3,1300.0,0.1446,0.3489,0.5760702681472399,29697.0,11265.0,0.90931125,20100,71185.17,19378.0
1212,University of Wisconsin-Milwaukee,389600,3,1050.0,0.3685,0.6211,0.8578442566796001,19246.0,8196.0,0.83908046,15849,65921.14,16746.0
1213,University of Wisconsin-Platteville,392100,3,1090.0,0.2776,0.6052,0.94307561597281,5302.0,6421.0,0.922322159,16750,61602.16,15419.0
1214,University of Wisconsin-River Falls,392300,3,1050.0,0.3009,0.5977,0.89781906300484,5482.0,7320.0,0.917410714,16000,69159.98,14402.0
1215,University of Wisconsin-Stevens Point,392400,3,1050.0,0.3416,0.6558,0.9007076010043299,8287.0,6658.0,0.899122807,17195.5,62211.59,13621.0
1216,University of Wyoming,393200,7,1122.0,0.2315,0.3624,0.9566244363324,8550.0,9564.0,0.898412698,12000,56061.18,11813.0
1217,University of Puerto Rico-Aguadilla,1212300,9,1023.0,0.7872,0.109,0.7881729920564801,3218.0,7408.0,PrivacySuppressed,4500,20501.04,1924.0
1218,University of Puerto Rico-Carolina,3016000,9,1002.0,0.7195,0.0271,0.26528203917866,4198.0,6080.0,PrivacySuppressed,PrivacySuppressed,20501.04,7087.0
1219,University of Puerto Rico-Cayey,720600,9,1105.0,0.4532,0.0111,0.81636363636363,3972.0,7088.0,PrivacySuppressed,4200,20501.04,7105.0
1220,University of Puerto Rico-Rio Piedras,710800,9,1162.0,0.5883,0.091,0.29388173848162,17910.0,6820.0,PrivacySuppressed,5500,20501.04,3171.0
1221,University of the Virgin Islands,394600,9,807.0,0.5464,0.3185,0.94972577696526,1275.0,6334.0,0.669291339,7325,59543.61,12220.0
1222,Stanford University,130500,8,1479.0,0.1573,0.1211,0.05035649575264,7886.0,21354.0,0.927561838,12000,80275.59,13857.0
1223,Purdue University-Main Campus,182500,3,1231.0,0.189,0.3316,0.5896960056557,32669.0,11531.0,0.914023831,18750,68624.95,13516.0
1224,Widener University-Delaware Law School,331301,2,1032.0,0.2796,0.4731,0.67994834901309,194.0,12969.0,0.842937853,21500,69397.52,23206.0
1225,California State University-San Marcos,3011300,8,955.0,0.4737,0.4019,0.54038489575739,5005.0,8579.0,0.675531915,12500,72827.06,10547.0
1226,University of Washington-Bothell Campus,379802,8,1223.0,0.3501,0.3764,0.5619410039508399,1298.0,10006.0,0.846880907,13125,69752.4,11331.0
1227,University of Washington-Tacoma Campus,379801,8,1223.0,0.4896,0.4678,0.5619410039508399,1406.0,9142.0,0.846880907,13125,69752.4,9662.0
1228,Watkins College of Art Design & Film,3088800,5,1003.0,0.4079,0.6283,0.7008547008546999,298.0,5555.0,0.632183908,17200,61067.78,29631.0
1229,Arizona State University-West,108101,6,1143.0,0.4904,0.5876,0.76481835564053,3785.0,8398.0,0.739734885,14500,69074.33,9812.0
1230,Trine University-Regional/Non-Traditional Campuses,183901,3,1089.0,0.3927,0.4917,0.77663870767319,96.0,8147.0,0.810690423,16012.5,60275.33,23121.0
1231,Southeast Missouri Hospital College of Nursing and Health Sciences,3070900,4,1030.0,0.5665,0.721,0.59111111111111,47.0,5431.0,0.795918367,14250,47776.36,23888.0
1232,Arizona State University-Polytechnic,108102,6,1143.0,0.3829,0.5048,0.76481835564053,1529.0,8310.0,0.739734885,14500,69074.33,11826.0
1233,Florida Gulf Coast University,3255300,5,1081.0,0.3316,0.4508,0.6058201058201,2977.0,7838.0,0.76702509,12000,62394.85,16108.0
1234,University of Connecticut-Tri-Campus,141704,1,1233.0,0.3826,0.4887,0.53375,1826.0,13790.0,0.910939013,18750,80999.86,8258.0
1235,University of Connecticut-Avery Point,141705,1,1233.0,0.2849,0.4894,0.53375,607.0,15814.0,0.910939013,18750,80999.86,9179.0
1236,University of Connecticut-Stamford,141702,1,1233.0,0.3455,0.3859,0.53375,997.0,15814.0,0.910939013,18750,80999.86,7358.0
