,mon,dom,dow,carrier,flight,org,depart,duration,delay,km,org_idx,org_dummy,features
3947,3,11,5,B6,30,JFK,22.92,83,,425.0,2.0,"(7,[2],[1.0])",[425.0]
3948,5,16,1,US,165,SJC,9.47,86,-1.0,621.0,5.0,"(7,[5],[1.0])",[621.0]
3949,8,14,0,US,2128,LGA,13.0,69,9.0,298.0,3.0,"(7,[3],[1.0])",[298.0]
3950,10,9,0,OH,6659,LGA,8.0,122,-18.0,694.0,3.0,"(7,[3],[1.0])",[694.0]
3951,0,17,4,UA,682,ORD,13.08,129,20.0,1180.0,0.0,"(7,[0],[1.0])",[1180.0]
3952,5,25,3,UA,265,ORD,9.85,200,3.0,2010.0,0.0,"(7,[0],[1.0])",[2010.0]
3953,5,3,2,UA,59,SFO,8.92,323,-10.0,3809.0,1.0,"(7,[1],[1.0])",[3809.0]
3954,5,28,6,OO,6810,TUS,12.92,92,-9.0,726.0,7.0,"(7,[],[])",[726.0]
3955,9,22,3,AA,444,ORD,9.75,130,0.0,1395.0,0.0,"(7,[0],[1.0])",[1395.0]
3956,11,1,1,OH,6565,LGA,21.85,120,74.0,982.0,3.0,"(7,[3],[1.0])",[982.0]
3957,11,11,4,UA,328,ORD,6.65,107,8.0,964.0,0.0,"(7,[0],[1.0])",[964.0]
3958,7,27,3,WN,720,SJC,21.58,95,,999.0,5.0,"(7,[5],[1.0])",[999.0]
3959,6,14,1,UA,839,JFK,17.98,384,-18.0,3983.0,2.0,"(7,[2],[1.0])",[3983.0]
3960,4,24,6,UA,837,JFK,7.08,378,16.0,4162.0,2.0,"(7,[2],[1.0])",[4162.0]
3961,8,23,2,HA,157,OGG,12.18,34,-8.0,161.0,6.0,"(7,[6],[1.0])",[161.0]
3962,8,24,3,UA,35,SFO,8.97,304,0.0,3763.0,1.0,"(7,[1],[1.0])",[3763.0]
3963,10,8,6,OH,6391,JFK,17.33,94,109.0,151.0,2.0,"(7,[2],[1.0])",[151.0]
3964,11,19,5,OH,6821,JFK,19.33,265,,2280.0,2.0,"(7,[2],[1.0])",[2280.0]
3965,1,13,3,B6,72,JFK,16.25,70,130.0,336.0,2.0,"(7,[2],[1.0])",[336.0]
3966,2,2,0,WN,2871,SMF,20.83,105,6.0,1041.0,4.0,"(7,[4],[1.0])",[1041.0]
3967,7,24,0,US,2173,LGA,12.0,76,1.0,344.0,3.0,"(7,[3],[1.0])",[344.0]
3968,7,15,5,B6,265,SMF,19.0,80,-11.0,623.0,4.0,"(7,[4],[1.0])",[623.0]
