,mon,dom,dow,carrier,flight,org,depart,duration,delay,km,org_idx,org_dummy,features
3620,10,30,0,UA,27,JFK,15.8,387,-15.0,3983.0,2.0,"(7,[2],[1.0])",[3983.0]
3621,10,30,0,UA,54,SFO,5.67,245,17.0,2971.0,1.0,"(7,[1],[1.0])",[2971.0]
3622,10,30,0,UA,390,SJC,16.98,146,187.0,1526.0,5.0,"(7,[5],[1.0])",[1526.0]
3623,10,30,0,UA,1406,SFO,22.7,243,9.0,2971.0,1.0,"(7,[1],[1.0])",[2971.0]
3624,10,30,0,UA,1479,ORD,16.95,235,223.0,2317.0,0.0,"(7,[0],[1.0])",[2317.0]
3625,10,30,0,US,274,SJC,6.33,110,5.0,999.0,5.0,"(7,[5],[1.0])",[999.0]
3626,10,30,0,US,343,ORD,7.33,243,-33.0,2317.0,0.0,"(7,[0],[1.0])",[2317.0]
3627,11,1,1,AA,309,LGA,7.83,160,23.0,1180.0,3.0,"(7,[3],[1.0])",[1180.0]
3628,11,1,1,AA,313,ORD,11.75,270,85.0,2778.0,0.0,"(7,[0],[1.0])",[2778.0]
3629,11,1,1,AA,780,ORD,6.0,175,76.0,1926.0,0.0,"(7,[0],[1.0])",[1926.0]
3630,11,1,1,AA,1456,SFO,14.5,255,135.0,2971.0,1.0,"(7,[1],[1.0])",[2971.0]
3631,11,1,1,AA,1462,ORD,8.33,125,53.0,1157.0,0.0,"(7,[0],[1.0])",[1157.0]
3632,11,1,1,AA,1571,ORD,12.17,85,115.0,538.0,0.0,"(7,[0],[1.0])",[538.0]
3633,11,1,1,AA,1797,ORD,12.42,70,163.0,415.0,0.0,"(7,[0],[1.0])",[415.0]
3634,11,1,1,B6,831,JFK,6.08,172,22.0,1654.0,2.0,"(7,[2],[1.0])",[1654.0]
3635,11,1,1,OH,6605,JFK,14.98,122,22.0,686.0,2.0,"(7,[2],[1.0])",[686.0]
3636,11,1,1,OH,6696,ORD,18.0,75,147.0,425.0,0.0,"(7,[0],[1.0])",[425.0]
3637,11,1,1,OO,6043,ORD,21.15,86,65.0,669.0,0.0,"(7,[0],[1.0])",[669.0]
3638,11,1,1,UA,766,ORD,21.58,114,82.0,1001.0,0.0,"(7,[0],[1.0])",[1001.0]
3639,11,1,1,US,551,SJC,12.58,107,121.0,999.0,5.0,"(7,[5],[1.0])",[999.0]
3640,11,1,1,WN,2556,SFO,20.92,85,41.0,542.0,1.0,"(7,[1],[1.0])",[542.0]
3641,11,1,1,WN,2761,SJC,8.58,75,230.0,550.0,5.0,"(7,[5],[1.0])",[550.0]
3642,11,2,2,AA,348,ORD,19.33,129,-17.0,1180.0,0.0,"(7,[0],[1.0])",[1180.0]
3643,11,2,2,AA,1184,ORD,11.83,130,49.0,1157.0,0.0,"(7,[0],[1.0])",[1157.0]
3644,11,2,2,AA,1210,ORD,12.42,135,-17.0,1395.0,0.0,"(7,[0],[1.0])",[1395.0]
3645,11,2,2,AA,1284,ORD,15.33,60,17.0,285.0,0.0,"(7,[0],[1.0])",[285.0]
3646,11,2,2,B6,130,JFK,18.83,109,-39.0,484.0,2.0,"(7,[2],[1.0])",[484.0]
3647,11,2,2,B6,803,JFK,6.17,183,69.0,1720.0,2.0,"(7,[2],[1.0])",[1720.0]
3648,11,2,2,OH,6373,LGA,15.98,148,-20.0,941.0,3.0,"(7,[3],[1.0])",[941.0]
3649,11,2,2,OO,5836,ORD,8.18,51,31.0,253.0,0.0,"(7,[0],[1.0])",[253.0]
