id,budget,revenue
6972,130000000,49554002.0
82700,130000000,243843127.0
10567,127500000,354248063.0
181533,127000000,349424282.0
38055,130000000,321887208.0
671,125000000,976475550.0
49524,130000000,61648500.0
22,140000000,655011224.0
131631,125000000,752100229.0
591,125000000,767820459.0
172385,103000000,500188435.0
36658,110000000,407711549.0
51497,125000000,626137675.0
58574,125000000,334615000.0
18823,125000000,232713139.0
861,65000000,261317921.0
1911,160000000,61698899.0
49040,130000000,276572938.0
415,125000000,238207122.0
8871,123000000,345141403.0
435,125000000,544272402.0
955,125000000,546388105.0
2133,120000000,325756637.0
1979,130000000,289047763.0
87827,120000000,609016565.0
1250,110000000,228738393.0
324668,120000000,415484914.0
9471,120000000,259175788.0
70981,130000000,403170142.0
10996,120000000,169956806.0
68724,115000000,286140700.0
2789,105000000,115772733.0
97020,120000000,242688965.0
7459,120000000,93945766.0
42888,120000000,48668907.0
37834,117000000,261930431.0
75612,120000000,286168572.0
1895,113000000,850000000.0
1894,120000000,649398328.0
585,115000000,562816256.0
76170,120000000,415440673.0
1893,115000000,924317558.0
49519,135000000,585178928.0
2395,97250400,132900000.0
12100,115000000,77628265.0
290595,115000000,164602163.0
98566,125000000,477200000.0
49047,105000000,716392705.0
9619,116000000,178127760.0
308531,135000000,245623848.0
166424,120000000,167977596.0
1593,110000000,574480841.0
254128,110000000,470490832.0
714,110000000,333011068.0
2024,110000000,215294342.0
163,110000000,362744280.0
787,110000000,478207520.0
262500,110000000,295238201.0
2567,116000000,102000000.0
38745,112000000,237382724.0
40805,120000000,227817248.0
53182,110000000,337580051.0
41513,110000000,563749323.0
13700,110000000,103951461.0
262504,110000000,179246868.0
39254,110000000,299268508.0
77931,105000000,347434178.0
1639,160000000,164508066.0
80274,110000000,125537191.0
1571,110000000,383531464.0
120,93000000,871368364.0
10204,110000000,72178895.0
8489,107000000,87713825.0
2048,120000000,347234916.0
1495,130000000,211643158.0
10137,133000000,300135367.0
10198,105000000,267045765.0
286217,108000000,630161890.0
1635,126000000,162949164.0
24113,90000000,10372291.0
9679,90000000,237202299.0
98,103000000,457640427.0
180,102000000,358372926.0
672,100000000,876688482.0
36557,150000000,599045960.0
869,100000000,362211740.0
280,100000000,520000000.0
11322,80000000,214104620.0
4982,100000000,266465037.0
36955,115000000,378882411.0
18487,100000000,150166126.0
39451,100000000,310650585.0
27581,100000000,170432927.0
9268,100000000,242295562.0
68718,100000000,425368238.0
10545,100000000,100138851.0
11688,100000000,169327687.0
76163,100000000,312573423.0
2059,100000000,347451894.0
2486,100000000,249288105.0
16523,100000000,100086793.0
116711,100000000,268426634.0
37710,100000000,278731369.0
9946,100000000,211989043.0
1372,100000000,170877916.0
106646,100000000,392000694.0
414,100000000,336529144.0
563,105000000,121214377.0
83542,102000000,130482868.0
41216,80000000,140073390.0
314,100000000,82102379.0
184315,100000000,243400000.0
9016,140000000,109578115.0
18162,100000000,68688831.0
138103,90000000,206172544.0
257088,105000000,133718711.0
205775,100000000,93820758.0
11692,100000000,7103973.0
22972,100000000,94882889.0
227973,99000000,246233113.0
29193,10000000,13835130.0
1734,98000000,433013274.0
3131,100000000,193772504.0
76758,94000000,95311434.0
9408,85000000,149044513.0
9890,90000000,102000000.0
855,92000000,172989651.0
18,90000000,263920180.0
37786,100000000,288347692.0
10501,95000000,76432727.0
57800,95000000,877244782.0
150689,95000000,543514353.0
7980,65000000,93525586.0
12,94000000,940335536.0
122,94000000,1118888979.0
121,79000000,926287400.0
68737,95000000,114178613.0
1995,115000000,274703340.0
157353,100000000,103039258.0
331,93000000,368780809.0
61791,93000000,482860185.0
8204,90000000,162839667.0
47964,92000000,304654182.0
10733,145000000,25819961.0
9806,92000000,631442092.0
1408,98000000,10017322.0
32657,95000000,226497209.0
607,90000000,589390539.0
863,90000000,497366869.0
44048,100000000,167805466.0
5175,90000000,347325802.0
2655,100000000,155464351.0
22794,100000000,242988466.0
8355,90000000,886686817.0
116745,90000000,188133322.0
4327,92000000,264105545.0
1422,90000000,289847354.0
10674,90000000,304320254.0
7446,92000000,188072649.0
65754,90000000,232617430.0
1572,90000000,366101666.0
10528,90000000,524028679.0
271969,100000000,94061311.0
10865,120000000,186053725.0
2253,75000000,200276000.0
10661,90000000,201596308.0
257344,88000000,243637091.0
644,100000000,235926552.0
10756,90000000,182290266.0
686,90000000,171120329.0
9383,95000000,190213455.0
179,80000000,162944923.0
76285,90000000,174578751.0
1996,95000000,156505388.0
291805,90000000,334901337.0
10003,68000000,118063304.0
1535,92000000,143049560.0
2067,90000000,60874615.0
46195,90000000,484635760.0
2277,100000000,93700000.0
4477,90000000,140807547.0
8665,100000000,35168966.0
9387,20000000,79114085.0
921,88000000,108539911.0
49852,90000000,16178959.0
4464,87000000,148336445.0
664,92000000,494471524.0
8358,90000000,429632142.0
9836,100000000,384335608.0
2502,75000000,288500217.0
9772,85000000,315156409.0
161,85000000,450717150.0
52451,75000000,132274484.0
76492,85000000,358375603.0
4523,85000000,340487652.0
59961,85000000,208076205.0
10481,85000000,183611771.0
59108,75000000,152930623.0
1581,85000000,194168700.0
9798,90000000,250649836.0
22897,85000000,219103655.0
298,85000000,311312624.0
7484,85000000,197309027.0
157350,85000000,288747895.0
853,68000000,96976270.0
10159,85000000,80916492.0
9593,85000000,137298489.0
1904,85000000,162242962.0
9615,85000000,158468292.0
297,90000000,142940100.0
9884,85000000,78382433.0
62764,85000000,183018522.0
22538,60000000,47664559.0
9341,60000000,74208267.0
12107,84000000,123307945.0
9637,84000000,275650703.0
49049,50000000,41037742.0
9339,82500000,237681299.0
16281,8000000,21028755.0
39691,85000000,112483764.0
8247,85000000,222231186.0
11253,85000000,160388063.0
1949,65000000,84785914.0
