,Unnamed: 0,country,social_support,freedom,corruption,generosity,gdp_per_cap,life_exp,happiness_score
103,104,Armenia,117.0,123.0,93.0,129.0,9730,75.9,40
104,105,Iran,134.0,117.0,44.0,28.0,16100,77.8,39
105,106,Guinea,136.0,109.0,70.0,94.0,2420,61.6,38
106,107,Georgia,147.0,104.0,28.0,153.0,10700,73.2,37
107,108,Gambia,125.0,89.0,26.0,64.0,1570,66.4,36
108,109,Kenya,123.0,72.0,105.0,26.0,3160,66.7,35
109,110,Mauritania,99.0,151.0,67.0,148.0,3890,71.0,34
110,111,Mozambique,122.0,46.0,40.0,121.0,1170,59.9,33
111,112,Tunisia,121.0,143.0,101.0,144.0,11100,78.7,32
112,113,Bangladesh,126.0,27.0,36.0,107.0,4140,73.7,31
113,114,Iraq,124.0,130.0,66.0,73.0,15700,77.1,30
114,115,Mali,112.0,110.0,107.0,138.0,2100,62.9,28
115,116,Sierra Leone,135.0,116.0,112.0,79.0,1460,61.3,27
116,117,Sri Lanka,80.0,55.0,111.0,35.0,12100,77.8,26
117,118,Myanmar,96.0,29.0,24.0,1.0,6270,69.1,25
118,119,Chad,141.0,142.0,80.0,106.0,1740,60.6,24
119,120,Ukraine,56.0,141.0,143.0,66.0,8480,70.8,23
120,121,Ethiopia,119.0,106.0,53.0,99.0,1900,69.1,22
121,122,Swaziland,103.0,113.0,41.0,145.0,9560,61.8,21
122,123,Uganda,114.0,99.0,95.0,74.0,1870,66.6,20
123,124,Egypt,118.0,129.0,89.0,132.0,11400,71.0,19
124,125,Zambia,115.0,73.0,69.0,53.0,3700,64.0,18
125,126,Togo,149.0,120.0,72.0,131.0,1610,65.0,17
126,127,India,142.0,41.0,73.0,65.0,7230,69.5,16
127,128,Liberia,127.0,94.0,126.0,110.0,1140,65.2,15
128,129,Comoros,143.0,148.0,81.0,62.0,2480,69.1,14
129,130,Madagascar,128.0,146.0,116.0,136.0,1490,64.2,13
130,131,Lesotho,98.0,97.0,59.0,151.0,2920,56.1,12
131,132,Burundi,152.0,135.0,23.0,149.0,644,62.3,11
132,133,Zimbabwe,110.0,96.0,63.0,141.0,2390,62.0,10
133,134,Haiti,146.0,152.0,48.0,20.0,1640,65.7,9
134,135,Botswana,105.0,60.0,54.0,150.0,16800,69.8,8
135,136,Syria,154.0,153.0,38.0,69.0,2900,71.5,7
136,137,Malawi,150.0,65.0,64.0,109.0,1180,64.2,6
137,138,Yemen,100.0,147.0,83.0,155.0,2340,68.1,5
138,139,Rwanda,144.0,21.0,2.0,90.0,2110,69.1,4
139,140,Tanzania,131.0,78.0,34.0,49.0,2980,67.7,3
140,141,Afghanistan,151.0,155.0,136.0,137.0,1760,64.1,2
141,142,Central African Republic,155.0,133.0,122.0,113.0,794,52.9,1
142,143,South Sudan,148.0,154.0,61.0,85.0,1860,59.7,0
