date,lag_1_day,lag_2_day,lag_3_day,lag_4_day,lag_5_day,lag_6_day,lag_7_day,lag_8_day,lag_9_day,lag_10_day
2011-11-10,-0.00882330862728658,0.01974416164628708,0.004404329383751774,0.007002863258431513,0.015800097626695816,0.0023955671801854945,0.0009398697166744857,0.02347524669069712,0.02596039657197322,0.026880062198062486
2011-11-11,-0.03419310707800734,-0.00882330862728658,0.01974416164628708,0.004404329383751774,0.007002863258431513,0.015800097626695816,0.0023955671801854945,0.0009398697166744857,0.02347524669069712,0.02596039657197322
2011-11-14,-0.034749278769196715,-0.03419310707800734,-0.00882330862728658,0.01974416164628708,0.004404329383751774,0.007002863258431513,0.015800097626695816,0.0023955671801854945,0.0009398697166744857,0.02347524669069712
2011-11-15,-0.04654364532244982,-0.034749278769196715,-0.03419310707800734,-0.00882330862728658,0.01974416164628708,0.004404329383751774,0.007002863258431513,0.015800097626695816,0.0023955671801854945,0.0009398697166744857
2011-11-16,-0.02032563270275263,-0.04654364532244982,-0.034749278769196715,-0.03419310707800734,-0.00882330862728658,0.01974416164628708,0.004404329383751774,0.007002863258431513,0.015800097626695816,0.0023955671801854945
2011-11-17,-0.02909284524829934,-0.02032563270275263,-0.04654364532244982,-0.034749278769196715,-0.03419310707800734,-0.00882330862728658,0.01974416164628708,0.004404329383751774,0.007002863258431513,0.015800097626695816
2011-11-18,-0.04661294527132212,-0.02909284524829934,-0.02032563270275263,-0.04654364532244982,-0.034749278769196715,-0.03419310707800734,-0.00882330862728658,0.01974416164628708,0.004404329383751774,0.007002863258431513
2011-11-21,-0.05119990582285992,-0.04661294527132212,-0.02909284524829934,-0.02032563270275263,-0.04654364532244982,-0.034749278769196715,-0.03419310707800734,-0.00882330862728658,0.01974416164628708,0.004404329383751774
2011-11-22,-0.06449244864652273,-0.05119990582285992,-0.04661294527132212,-0.02909284524829934,-0.02032563270275263,-0.04654364532244982,-0.034749278769196715,-0.03419310707800734,-0.00882330862728658,0.01974416164628708
2011-11-23,-0.04359789321030526,-0.06449244864652273,-0.05119990582285992,-0.04661294527132212,-0.02909284524829934,-0.02032563270275263,-0.04654364532244982,-0.034749278769196715,-0.03419310707800734,-0.00882330862728658
2011-11-25,-0.06653400663708148,-0.04359789321030526,-0.06449244864652273,-0.05119990582285992,-0.04661294527132212,-0.02909284524829934,-0.02032563270275263,-0.04654364532244982,-0.034749278769196715,-0.03419310707800734
2011-11-28,-0.07380864766838806,-0.06653400663708148,-0.04359789321030526,-0.06449244864652273,-0.05119990582285992,-0.04661294527132212,-0.02909284524829934,-0.02032563270275263,-0.04654364532244982,-0.034749278769196715
2011-11-29,-0.04072540288329545,-0.07380864766838806,-0.06653400663708148,-0.04359789321030526,-0.06449244864652273,-0.05119990582285992,-0.04661294527132212,-0.02909284524829934,-0.02032563270275263,-0.04654364532244982
2011-11-30,-0.04826734944738829,-0.04072540288329545,-0.07380864766838806,-0.06653400663708148,-0.04359789321030526,-0.06449244864652273,-0.05119990582285992,-0.04661294527132212,-0.02909284524829934,-0.02032563270275263
2011-12-01,-0.025360228858842135,-0.04826734944738829,-0.04072540288329545,-0.07380864766838806,-0.06653400663708148,-0.04359789321030526,-0.06449244864652273,-0.05119990582285992,-0.04661294527132212,-0.02909284524829934
2011-12-02,-0.01100368898630376,-0.025360228858842135,-0.04826734944738829,-0.04072540288329545,-0.07380864766838806,-0.06653400663708148,-0.04359789321030526,-0.06449244864652273,-0.05119990582285992,-0.04661294527132212
2011-12-05,-0.00717656431315056,-0.01100368898630376,-0.025360228858842135,-0.04826734944738829,-0.04072540288329545,-0.07380864766838806,-0.06653400663708148,-0.04359789321030526,-0.06449244864652273,-0.05119990582285992
2011-12-06,-4.368758984670307e-05,-0.00717656431315056,-0.01100368898630376,-0.025360228858842135,-0.04826734944738829,-0.04072540288329545,-0.07380864766838806,-0.06653400663708148,-0.04359789321030526,-0.06449244864652273
2011-12-07,-0.005557594295361693,-4.368758984670307e-05,-0.00717656431315056,-0.01100368898630376,-0.025360228858842135,-0.04826734944738829,-0.04072540288329545,-0.07380864766838806,-0.06653400663708148,-0.04359789321030526
2011-12-08,-0.009685494115766271,-0.005557594295361693,-4.368758984670307e-05,-0.00717656431315056,-0.01100368898630376,-0.025360228858842135,-0.04826734944738829,-0.04072540288329545,-0.07380864766838806,-0.06653400663708148
2011-12-09,-0.00483873760615207,-0.009685494115766271,-0.005557594295361693,-4.368758984670307e-05,-0.00717656431315056,-0.01100368898630376,-0.025360228858842135,-0.04826734944738829,-0.04072540288329545,-0.07380864766838806
2011-12-12,0.0038667370820171694,-0.00483873760615207,-0.009685494115766271,-0.005557594295361693,-4.368758984670307e-05,-0.00717656431315056,-0.01100368898630376,-0.025360228858842135,-0.04826734944738829,-0.04072540288329545
2011-12-13,0.0011851522547232823,0.0038667370820171694,-0.00483873760615207,-0.009685494115766271,-0.005557594295361693,-4.368758984670307e-05,-0.00717656431315056,-0.01100368898630376,-0.025360228858842135,-0.04826734944738829
2011-12-14,-0.004721223019959674,0.0011851522547232823,0.0038667370820171694,-0.00483873760615207,-0.009685494115766271,-0.005557594295361693,-4.368758984670307e-05,-0.00717656431315056,-0.01100368898630376,-0.025360228858842135
